id_venta,fecha,id_cliente,id_producto,sucursal,cantidad,precio_unitario,metodo_pago
V0342,2024-06-27,C0159,P216,TRUJILLO,4.0,1041.0,EFECTIVO
V0343,2024-02-13,C0125,P124,TRUJILLO,4.0,1501.0,EFECTIVO
V0344,28/05/2024,C0262,P115,TRUJILLO,10.0,2515.0,EFECTIVO
V0345,2024-04-13,C0203,P045,CUSCO,1.0,844.0,TARJETA
V0346,2024-03-26,C0130,P091,AREQUIPA,7.0,429.0,TARJETA
V0347,2024-01-26,C0232,P019,LIMA,10.0,2506.0,EFECTIVO
V0348,2024-03-17,C0118,P169,CUSCO,3.0,214.0,TRANSFERENCIA
V0349,2024-05-11,C0156,P298,AREQUIPA,4.0,849.0,TARJETA
V0350,2024-05-17,C0171,P132,TRUJILLO,1.0,2522.0,TARJETA
V0351,2024-02-17,C0075,P007,TRUJILLO,4.0,946.0,TARJETA
V0352,2024-01-26,C0180,P038, trujillo,2.0,1474.0,TRANSFERENCIA
V0353,2024-05-31,C9999,P001,AREQUIPA,1.0,64.0,TARJETA
V0354,2024-04-24,C0150,P188,TRUJILLO,8.0,189.0,TRANSFERENCIA
V0355,2024-02-09,C0298,,AREQUIPA,7.0,2073.0,EFECTIVO
V0356,2024-06-30,C0109,P056,TRUJILLO,10.0,871.0,EFECTIVO
V0357,2024-01-01,C0126,P195,AREQUIPA,9.0,505.0,TARJETA
V0358,2024-03-24,C0195,P236,TRUJILLO,4.0,1431.0,TRANSFERENCIA
V0359,2024-06-01,C0066,P254,TRUJILLO,4.0,388.0,EFECTIVO
V0360,2024-03-28,C0091,P110,AREQUIPA,8.0,1497.0,TARJETA
V0361,2024-04-26,C0261,P175,AREQUIPA,2.0,1431.0,TARJETA
V0362,2024-01-03,C0005,P269,TRUJILLO,4.0,1200.0,TRANSFERENCIA
V0363,2024-02-11,C0120,P100, lima,3.0,71.0,EFECTIVO
V0364,2024-03-03,C0147,P261,LIMA,4.0,297.0,transferencia
V0365,2024-06-14,C0030,P255,AREQUIPA,4.0,492.0,TRANSFERENCIA
V0366,2024-02-16,C0061,P223,AREQUIPA,4.0,171.0,EFECTIVO
V0367,2024-02-25,C0025,P289,CUSCO,3.0,2820.0,EFECTIVO
V0368,2024-01-22,C0007,P119,CUSCO,5.0,2145.0,EFECTIVO
V0369,2024-01-07,C0067,P197,AREQUIPA,7.0,1933.0,TARJETA
V0370,2024-04-11,C0041,P142,CUSCO,5.0,1421.0,TRANSFERENCIA
V0371,2024-05-19,C0298,P033,LIMA,10.0,2186.0,EFECTIVO
V0372,2024-05-23,C0035,P237,TRUJILLO,5.0,1748.0,EFECTIVO
V0373,2024-02-21,,P052,LIMA,9.0,560.0,EFECTIVO
V0374,2024-04-01,C0231,P093,LIMA,1.0,321.0,EFECTIVO
V0375,2024-04-05,C0126,P111,CUSCO,5.0,857.0,TARJETA
V0376,2024-01-16,C0219,P059,TRUJILLO,8.0,2962.0,EFECTIVO
V0377,2024-02-03,C0245,P072, arequipa,7.0,1038.0,TARJETA
V0378,2024-05-21,C0195,P111,LIMA,2.0,2151.0,
V0379,2024-06-07,C0001,P209,AREQUIPA,10.0,817.0,TARJETA
V0380,2024-03-12,C0216,P257,CUSCO,10.0,715.0,TARJETA
V0381,2024-04-30,C0063,P260, lima,7.0,873.0,EFECTIVO
V0382,2024-06-04,C0166,P197,CUSCO,5.0,1637.0,TARJETA
V0383,2024-02-13,C0079,P221,TRUJILLO,6.0,1612.0,TARJETA
V0384,2024-03-13,C0285,P252,TRUJILLO,6.0,250.0,EFECTIVO
V0385,23/01/2024,C0318,P006,TRUJILLO,5.0,1882.0,TARJETA
V0386,2024-05-20,C0319,P097,LIMA,10.0,2582.0,TARJETA
V0387,no registrada,C0192,P025,TRUJILLO,9.0,118.0,EFECTIVO
V0388,2024-03-16,C0013,,CUSCO,5.0,2609.0,EFECTIVO
V0389,2024-02-11,C0117,P049,TRUJILLO,8.0,1770.0,TARJETA
V0390,2024-03-27,C0228,P061, cusco,8.0,2408.0,TARJETA
V0391,2024-01-28,C0274,P288,AREQUIPA,10.0,338.0,EFECTIVO
V0392,2024-04-16,C0169,P221,AREQUIPA,3.0,1291.0,EFECTIVO
V0393,2024-05-27,C0211,P209,LIMA,2.0,2784.0,TARJETA
V0394,2024-04-29,C0018,P264,CUSCO,1.0,2863.0,EFECTIVO
V0395,2024-01-02,C0067,P136,AREQUIPA,9.0,772.0,TRANSFERENCIA
V0396,2024-05-24,C0204,P045,AREQUIPA,7.0,2019.0,TARJETA
V0397,2024-04-16,C0163,P232,CUSCO,1.0,410.0,EFECTIVO
V0398,2024-01-27,C0098,P283,TRUJILLO,7.0,2076.0,TRANSFERENCIA
V0399,2024-01-30,C0038,P148, cusco,4.0,984.0,EFECTIVO
V0400,2024-06-11,C0276,P181,LIMA,1.0,460.0,
V0401,2024-03-24,C0106,P169,CUSCO,6.0,1461.0,TARJETA
V0402,2024-06-24,C0043,P071,TRUJILLO,6.0,2368.0,TARJETA
V0403,2024-01-29,C0314,P280,TRUJILLO,5.0,2235.0,EFECTIVO
V0404,2024-02-13,C0177,P025,AREQUIPA,-1.0,1118.0,TARJETA
V0405,2024-03-29,C0032,P215,TRUJILLO,6.0,1131.0,TARJETA
V0406,2024-04-07,C0215,P055,TRUJILLO,1.0,1208.0,EFECTIVO
V0407,2024-03-07,C0066,P171,CUSCO,1.0,2796.0,EFECTIVO
V0408,2024-06-30,C0102,P296,LIMA,6.0,1149.0,TARJETA
V0409,2024-04-28,C0164,,TRUJILLO,2.0,1006.0,EFECTIVO
V0410,2024-04-15,C0052,P202,AREQUIPA,5.0,773.0,TARJETA
V0411,2024-03-22,C0180,P067,CUSCO,7.0,2846.0,EFECTIVO
V0412,2024-02-19,C0040,P184,CUSCO,10.0,1117.0,EFECTIVO
V0413,no registrada,C0202,P060,TRUJILLO,10.0,309.0,TRANSFERENCIA
V0414,2024-05-06,C0317,P272,AREQUIPA,7.0,2453.0,EFECTIVO
V0415,2024-04-04,C0312,P282,AREQUIPA,8.0,2770.0,TARJETA
V0416,2024-06-01,C0108,P168,AREQUIPA,1.0,2487.0,TRANSFERENCIA
V0417,2024-01-25,C0283,P131,AREQUIPA,1.0,1314.0,TRANSFERENCIA
V0418,2024-03-07,,P203,CUSCO,6.0,384.0,TARJETA
V0419,2024-02-26,C0146,P283,CUSCO,6.0,2859.0,EFECTIVO
V0420,2024-01-18,C0245,P245,CUSCO,2.0,640.0,TARJETA
V0421,2024-04-09,,P237,AREQUIPA,7.0,2509.0,
V0422,2024-02-21,C0102,P232,CUSCO,5.0,870.0,TRANSFERENCIA
V0423,2024-04-17,C0303,P220,LIMA,8.0,1771.0,TARJETA
V0424,2024-05-30,C0306,P109,LIMA,3.0,649.0,TRANSFERENCIA
V0425,2024-01-09,C0262,P298,CUSCO,4.0,2422.0,EFECTIVO
V0426,2024-04-13,C0265,P051,LIMA,,2266.0,EFECTIVO
V0427,18/01/2024,C0092,P133,AREQUIPA,10.0,2905.0,TARJETA
V0428,2024-01-19,C0155,P012,TRUJILLO,10.0,2769.0,TRANSFERENCIA
V0429,2024-06-12,C0129,P030,TRUJILLO,6.0,1516.0,TARJETA
V0430,2024-06-21,C0230,P022,CUSCO,6.0,1180.0,EFECTIVO
V0431,25/02/2024,C0014,P248,CUSCO,9.0,1507.0,EFECTIVO
V0432,2024-01-01,C0151,P293,TRUJILLO,1.0,1199.0,TARJETA
V0433,25/01/2024,C0044,P068,LIMA,10.0,2448.0,EFECTIVO
V0434,2024-01-01,C0217,P300,AREQUIPA,6.0,2615.0,TARJETA
V0435,2024-05-14,C0025,P143,CUSCO,6.0,912.0,TRANSFERENCIA
V0436,2024-06-04,C0248,P144,CUSCO,60.0,1982.0,TARJETA
V0437,2024-02-24,C0208,P056,CUSCO,6.0,2519.0,TARJETA
V0438,2024-04-11,C0015,P055,AREQUIPA,9.0,1227.0,TARJETA
V0439,2024-03-19,C0282,P213,CUSCO,3.0,1851.0,EFECTIVO
V0440,2024-03-31,C0216,P155,TRUJILLO,8.0,2061.0,EFECTIVO
V0441,2024-06-23,C0121,P167,CUSCO,4.0,2152.0,TARJETA
V0442,2024-01-30,C0203,,CUSCO,4.0,2465.0,TRANSFERENCIA
V0443,28/05/2024,C0282,P279,AREQUIPA,4.0,2560.0,TARJETA
V0444,2024-01-16,C0209,P112, arequipa,7.0,2539.0,TARJETA
V0445,2024-03-03,C0125,P210,CUSCO,2.0,1987.0,EFECTIVO
V0446,2024-02-06,C0149,P285,AREQUIPA,6.0,471.0,TARJETA
V0447,2024-03-22,C0156,P135,LIMA,5.0,2166.0,TARJETA
V0448,2024-01-10,C0078,P153,LIMA,4.0,884.0,TARJETA
V0449,2024-03-25,C0237,P247,CUSCO,9.0,,EFECTIVO
V0450,2024-02-27,C0045,P156,TRUJILLO,1.0,2027.0,EFECTIVO
V0451,2024-02-14,C0258,P227,CUSCO,9.0,2807.0,EFECTIVO
V0452,2024-02-06,C0124,P259,TRUJILLO,4.0,1102.0,TARJETA
V0453,2024-06-26,C0222,P225,LIMA,1.0,2634.0,TARJETA
V0454,2024-03-01,C0296,P012,TRUJILLO,5.0,2083.0,EFECTIVO
V0455,2024-06-03,C0140,P120,CUSCO,1.0,1580.0,EFECTIVO
V0456,2024-04-25,C0129,P283,TRUJILLO,5.0,2211.0,EFECTIVO
V0457,2024-01-17,C0111,P091,AREQUIPA,10.0,2296.0,transferencia
V0458,2024-05-08,C0059,P188,LIMA,8.0,1753.0,TRANSFERENCIA
V0459,2024-04-30,C0233,P176,CUSCO,9.0,617.0,TARJETA
V0460,2024-03-11,C0141,P238,TRUJILLO,9.0,2463.0,TARJETA
V0461,2024-04-01,C0284,P067,AREQUIPA,4.0,2360.0,TARJETA
V0462,2024-04-12,C0316,P077,CUSCO,4.0,2858.0,TRANSFERENCIA
V0463,2024-06-06,C0298,P005,AREQUIPA,7.0,1685.0,TARJETA
V0464,2024-06-05,C0037,P031,CUSCO,7.0,2710.0,TARJETA
V0465,2024-05-18,C0308,P286,AREQUIPA,5.0,2471.0,EFECTIVO
V0466,2024-04-08,C0319,P010, arequipa,5.0,2963.0,TARJETA
V0467,2024-03-20,C0233,P281,AREQUIPA,10.0,1576.0,EFECTIVO
V0468,2024-01-01,C0175,P249,LIMA,3.0,1052.0,TARJETA
V0469,2024-06-18,C0279,P027,CUSCO,4.0,1324.0,EFECTIVO
V0470,2024-01-16,C0183,P033,AREQUIPA,9.0,2213.0,TRANSFERENCIA
V0471,2024-03-03,C0200,P275,LIMA,5.0,860.0,TRANSFERENCIA
V0472,2024-05-30,C0095,P103,LIMA,1.0,2097.0,TARJETA
V0473,2024-04-27,C0147,P040,CUSCO,2.0,1379.0,EFECTIVO
V0474,2024-03-18,C0287,P158,TRUJILLO,5.0,2177.0,EFECTIVO
V0475,2024-02-22,C0225,P177,AREQUIPA,5.0,1150.0,EFECTIVO
V0476,2024-04-29,C0260,P061,CUSCO,6.0,56.0,EFECTIVO
V0477,2024-06-22,C0214,P118,LIMA,9.0,720.0,EFECTIVO
V0478,2024-06-30,C0033,P020,AREQUIPA,1.0,2498.0,EFECTIVO
V0479,2024-06-03,C0018,P106,CUSCO,8.0,1076.0,EFECTIVO
V0480,2024-06-28,C0299,P149,LIMA,2.0,1674.0,TRANSFERENCIA
V0481,2024-04-05,C0063,P201,CUSCO,6.0,681.0,EFECTIVO
V0482,2024-05-08,C0149,P025,CUSCO,5.0,339.0,EFECTIVO
V0483,2024-05-28,C0291,P035,LIMA,6.0,635.0,EFECTIVO
V0484,2024-01-04,C0047,P240,TRUJILLO,8.0,1657.0,EFECTIVO
V0485,2024-06-17,C0077,P240,LIMA,1.0,255.0,TARJETA
V0486,2024-04-17,C0090,P262,CUSCO,2.0,261.0,EFECTIVO
V0487,2024-02-29,C0285,P015,TRUJILLO,-5.0,1859.0,EFECTIVO
V0488,2024-05-02,C0240,P247, arequipa,5.0,2860.0,EFECTIVO
V0489,2024-05-25,C0078,P014,TRUJILLO,69.0,2737.0,TARJETA
V0490,2024-05-12,C0262,P262,CUSCO,10.0,2370.0,TARJETA
V0491,2024-06-14,C0071,P164,CUSCO,8.0,775.0,TRANSFERENCIA
V0492,2024-06-16,C0171,P209,TRUJILLO,2.0,1432.0,EFECTIVO
V0493,2024-02-23,C0052,P151,AREQUIPA,1.0,1882.0,TARJETA
V0494,2024-02-19,C0034,P197,TRUJILLO,9.0,2965.0,TRANSFERENCIA
V0495,2024-01-11,C0014,P100,AREQUIPA,5.0,1015.0,TARJETA
V0496,2024-02-25,C0050,P167, arequipa,2.0,2007.0,EFECTIVO
V0497,2024-06-14,C0295,P201,LIMA,2.0,1336.0,TARJETA
V0498,2024-01-24,C0232,P090,CUSCO,4.0,1968.0,TARJETA
V0499,2024-02-12,C0161,P164,LIMA,10.0,984.0,TARJETA
V0500,2024-03-27,C0046,P006,TRUJILLO,9.0,713.0,EFECTIVO
V0230,2024-01-20,C0227,P293,LIMA,8.0,1839.0,
V0338,2024-05-18,C0312,P030,CUSCO,2.0,2815.0,TRANSFERENCIA
V0328,2024-03-20,C0257,P171,CUSCO,10.0,1265.0,EFECTIVO
V0417,2024-01-25,C0283,P131,AREQUIPA,1.0,1314.0,TRANSFERENCIA
V0307,2024-04-07,C0034,P293,TRUJILLO,4.0,2964.0,TARJETA
V0132,2024-05-14,C0201,P297, trujillo,4.0,1086.0,EFECTIVO
V0006,13/04/2024,C0082,P098,TRUJILLO,9.0,1420.0,tarjeta
V0432,2024-01-01,C0151,P293,TRUJILLO,1.0,1199.0,TARJETA
V0435,2024-05-14,C0025,P143,CUSCO,6.0,912.0,TRANSFERENCIA
V0135,2024-06-10,C0269,P147,CUSCO,8.0,137.0,TARJETA
V0277,2024-02-22,C0300,P002, arequipa,10.0,2951.0,EFECTIVO
V0265,2024-06-09,C0126,P210,AREQUIPA,10.0,1639.0,EFECTIVO
